Time,ID,Positionx,Positionz,Positiony,Yaw,Up,Right,Down,Left,Trajectory,Distance,Speed,Direction
0.0,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,
4.5,,,,,,,,,,,,,
5.0,,,,,,,,,,,,,
5.5,,,,,,,,,,,,,
6.0,,,,,,,,,,,,,
6.5,,,,,,,,,,,,,
7.0,,,,,,,,,,,,,
7.5,,,,,,,,,,,,,
8.0,164.0,-0.04,0.0,-2.97,-4.596340293090336,1.0,0.0,1.0,0.0,1.0,2.97,,
8.5,164.0,-0.1,0.0,-2.61,-4.621651057902757,1.0,1.0,0.0,0.0,1.0,2.61,0.73,1.74
9.0,164.0,-0.09,0.0,-2.69,-4.638942034802265,0.0,1.0,0.0,0.0,1.0,2.69,0.16,-1.45
9.5,164.0,-0.09,0.0,-2.69,-4.698147093688417,0.0,1.0,0.0,0.0,1.0,2.69,0.0,-1.45
10.0,164.0,-0.09,0.0,-2.69,1.4988756716433402,1.0,1.0,0.0,0.0,1.0,2.69,0.0,-1.45
10.5,164.0,-0.09,0.0,-2.69,1.5240604062304755,0.0,1.0,0.0,0.0,1.0,2.69,0.0,-1.45
11.0,164.0,-0.09,0.0,-2.69,1.5645167176673545,0.0,1.0,0.0,0.0,1.0,2.69,0.0,-1.45
11.5,164.0,-0.09,0.0,-2.69,-4.706002820651642,0.0,1.0,0.0,0.0,1.0,2.69,0.0,-1.45
12.0,164.0,-0.09,0.0,-2.69,1.5666767196963298,0.0,1.0,0.0,0.0,1.0,2.69,0.0,-1.45
12.5,164.0,-0.09,0.0,-2.69,1.4684208979265156,0.0,1.0,0.0,1.0,1.0,2.69,0.0,-1.45
13.0,164.0,-0.09,0.0,-2.69,1.3506233907216623,0.0,1.0,0.0,1.0,1.0,2.69,0.0,-1.45
13.5,164.0,-0.09,0.0,-2.69,1.3752012917811716,0.0,1.0,0.0,1.0,1.0,2.69,0.0,-1.45
14.0,164.0,-0.09,0.0,-2.68,1.4121831605681423,0.0,1.0,0.0,1.0,1.0,2.68,0.02,1.57
14.5,164.0,-0.09,0.0,-2.7,1.4244600857793506,0.0,1.0,0.0,1.0,1.0,2.7,0.04,-1.57
15.0,164.0,-0.09,0.0,-2.69,1.4418662195029048,0.0,1.0,0.0,1.0,1.0,2.69,0.02,1.57
15.5,164.0,-0.08,0.0,-2.68,1.4591759586918718,0.0,1.0,0.0,1.0,1.0,2.68,0.03,0.79
16.0,164.0,-0.08,0.0,-2.68,1.4770429291511227,0.0,1.0,0.0,1.0,1.0,2.68,0.0,0.79
16.5,164.0,-0.08,0.0,-2.68,1.541224654772996,0.0,1.0,0.0,1.0,1.0,2.68,0.0,0.79
17.0,164.0,-0.08,0.0,-2.68,1.5625082032361348,0.0,1.0,0.0,1.0,1.0,2.68,0.0,0.79
17.5,164.0,-0.08,0.0,-2.68,1.5625082032361348,0.0,1.0,0.0,1.0,1.0,2.68,0.0,0.79
18.0,164.0,-0.08,0.0,-2.68,1.5596687026414557,0.0,1.0,0.0,1.0,1.0,2.68,0.0,0.79
18.5,164.0,-0.08,0.0,-2.68,1.5586894751926488,0.0,1.0,0.0,1.0,1.0,2.68,0.0,0.79
19.0,164.0,-0.08,0.0,-2.68,1.5567770201928006,0.0,1.0,0.0,1.0,1.0,2.68,0.0,0.79
