second	id	x	y	z
2	1	-447.9624	-0.6139	52459.7487	0
3	1	-447.9616	-0.6139	52459.7502	0
4	1	-447.9613	-0.6139	52459.7505	0
5	1	-447.9570	-0.6139	52459.7431	0
6	1	-447.9556	-0.6139	52459.7405	0
7	1	-447.9579	-0.6139	52459.7397	0
8	1	-447.9525	-0.6139	52459.7395	0
9	1	-447.9517	-0.6139	52459.7462	0
10	1	-447.9603	-0.6139	52459.7488	0
11	1	-447.9638	-0.6139	52459.7497	0
12	1	-447.9659	-0.6139	52459.7501	0
13	1	-447.9730	-0.6139	52459.7502	0
14	1	-447.9732	-0.6139	52459.7569	0
15	1	-447.9759	-0.6139	52459.7593	0
16	1	-447.9701	-0.6139	52459.7602	0
17	1	-447.9646	-0.6139	52459.7539	0
18	1	-447.9571	-0.6139	52459.7515	0
19	1	-447.9574	-0.6139	52459.7505	0
20	1	-447.9546	-0.6139	52459.7567	0
21	1	-447.9528	-0.6139	52459.7591	0
22	1	-447.9584	-0.6139	52459.7666	0
23	1	-447.9602	-0.6139	52459.7694	0
24	1	-447.9673	-0.6139	52459.7638	0
25	1	-447.9703	-0.6139	52459.7616	0
26	1	-447.9716	-0.6139	52459.7608	0
27	1	-447.9780	-0.6139	52459.7670	0
28	1	-447.9857	-0.6139	52459.7693	0
29	1	-447.9854	-0.6139	52459.7767	0
30	1	-447.9800	-0.6139	52459.7795	0
31	1	-447.9842	-0.6139	52459.7805	0
32	1	-447.9857	-0.6139	52459.7874	0
33	1	-447.9838	-0.6139	52459.7965	0
34	1	-447.9866	-0.6139	52459.8065	0
35	1	-447.9975	-0.6139	52459.8035	0
36	1	-448.0132	-0.6139	52459.7956	0
37	1	-448.0084	-0.6139	52459.7991	0
38	1	-448.0210	-0.6139	52459.8004	0
39	1	-448.0264	-0.6139	52459.8139	0
40	1	-448.0258	-0.6139	52459.8256	0
41	1	-448.0289	-0.6139	52459.8233	0
42	1	-448.0370	-0.6139	52459.8157	0
43	1	-448.0484	-0.6139	52459.8193	0
44	1	-448.0522	-0.6139	52459.8205	0
45	1	-448.0507	-0.6139	52459.8275	0
46	1	-448.0589	-0.6139	52459.8301	0
47	1	-448.0633	-0.6139	52459.8375	0
48	1	-448.0707	-0.6139	52459.8403	0
49	1	-448.0681	-0.6139	52459.8411	0
50	1	-448.0758	-0.6139	52459.8414	0
51	1	-448.0760	-0.6139	52459.8479	0
52	1	-448.0842	-0.6139	52459.8503	0
53	1	-448.0889	-0.6139	52459.8445	0
54	1	-448.0827	-0.6139	52459.8488	0
55	1	-448.0831	-0.6139	52459.8438	0
56	1	-448.0800	-0.6139	52459.8484	0
57	1	-448.0762	-0.6139	52459.8567	0
58	1	-448.0806	-0.6139	52459.8597	0
59	1	-448.0852	-0.6139	52459.8608	0
60	1	-448.0868	-0.6139	52459.8611	0
61	1	-448.0816	-0.6139	52459.8611	0
62	1	-448.0801	-0.6139	52459.8610	0
63	1	-448.0831	-0.6139	52459.8675	0
64	1	-448.0826	-0.6139	52459.8633	0
65	1	-448.0740	-0.6139	52459.8616	0
66	1	-448.0711	-0.6139	52459.8610	0
67	1	-448.0671	-0.6139	52459.8607	0
68	1	-448.0629	-0.6139	52459.8605	0
69	1	-448.0648	-0.6139	52459.8670	0
70	1	-448.0737	-0.6139	52459.8695	0
71	1	-448.0741	-0.6139	52459.8637	0
72	1	-448.0743	-0.6139	52459.8615	0
73	1	-448.0722	-0.6139	52459.8606	0
74	1	-448.0745	-0.6139	52459.8603	0
75	1	-448.0786	-0.6139	52459.8668	0
76	1	-448.0799	-0.6139	52459.8692	0
77	1	-448.0719	-0.6139	52459.8701	0
78	1	-448.0753	-0.6139	52459.8637	0
79	1	-448.0787	-0.6139	52459.8613	0
80	1	-448.0716	-0.6139	52459.8604	0
81	1	-448.0725	-0.6139	52459.8667	0
82	1	-448.0787	-0.6139	52459.8690	0
83	1	-448.0857	-0.6139	52459.8633	0
84	1	-448.0853	-0.6139	52459.8611	0
85	1	-448.0820	-0.6139	52459.8538	0
86	1	-448.0843	-0.6139	52459.8575	0
87	1	-448.0793	-0.6139	52459.8655	0
88	1	-448.0823	-0.6139	52459.8620	0
89	1	-448.0839	-0.6139	52459.8607	0
90	1	-448.0846	-0.6139	52459.8602	0
91	1	-448.0793	-0.6139	52459.8600	0
92	1	-448.0803	-0.6139	52459.8599	0
93	1	-448.0841	-0.6139	52459.8665	0
94	1	-448.0978	-0.6139	52459.8690	0
95	1	-448.1025	-0.6139	52459.8699	0
96	1	-448.1080	-0.6139	52459.8636	0
97	1	-448.1104	-0.6139	52459.8612	0
98	1	-448.1091	-0.6139	52459.8669	0
99	1	-448.1112	-0.6139	52459.8757	0
100	1	-448.1183	-0.6139	52459.8790	0
101	1	-448.1231	-0.6139	52459.8735	0
102	1	-448.1277	-0.6139	52459.8714	0
103	1	-448.1211	-0.6139	52459.8706	0
104	1	-448.1272	-0.6139	52459.8703	0
105	1	-448.1348	-0.6139	52459.8768	0
106	1	-448.1420	-0.6139	52459.8858	0
107	1	-448.1479	-0.6139	52459.8892	0
108	1	-448.1476	-0.6139	52459.8904	0
109	1	-448.1479	-0.6139	52459.8841	0
110	1	-448.1460	-0.6139	52459.8883	0
111	1	-448.1541	-0.6139	52459.8899	0
112	1	-448.1570	-0.6139	52459.8904	0
113	1	-448.1589	-0.6139	52459.8906	0
114	1	-448.1558	-0.6139	52459.8906	0
115	1	-448.1548	-0.6139	52459.8905	0
116	1	-448.1520	-0.6139	52459.8905	0
117	1	-448.1594	-0.6139	52459.8904	0
118	1	-448.1689	-0.6139	52459.8970	0
119	1	-448.1781	-0.6139	52459.8928	0
120	1	-448.1755	-0.6139	52459.8912	0
121	1	-448.1689	-0.6139	52459.8906	0
122	1	-448.1692	-0.6139	52459.8969	0
123	1	-448.1691	-0.6139	52459.9059	0
124	1	-448.1689	-0.6139	52459.9093	0
125	1	-448.1680	-0.6139	52459.9038	0
126	1	-448.1595	-0.6139	52459.9083	0
127	1	-448.1584	-0.6139	52459.9034	0
128	1	-448.1498	-0.6139	52459.9080	0
129	1	-448.1575	-0.6139	52459.9164	0
130	1	-448.1579	-0.6139	52459.9261	0
131	1	-448.1662	-0.6139	52459.9230	0
132	1	-448.1605	-0.6139	52459.9218	0
133	1	-448.1508	-0.6139	52459.9278	0
134	1	-448.1561	-0.6139	52459.9366	0
135	1	-448.1579	-0.6139	52459.9399	0
136	1	-448.1543	-0.6139	52459.9410	0
137	1	-448.1445	-0.6139	52459.9413	0
138	1	-448.1380	-0.6139	52459.9413	0
139	1	-448.1362	-0.6139	52459.9478	0
140	1	-448.1434	-0.6139	52459.9502	0
141	1	-448.1480	-0.6139	52459.9510	0
142	1	-448.1530	-0.6139	52459.9512	0
143	1	-448.1487	-0.6139	52459.9578	0
144	1	-448.1464	-0.6139	52459.9536	0
145	1	-448.1431	-0.6139	52459.9584	0
146	1	-448.1418	-0.6139	52459.9734	0
147	1	-448.1353	-0.6139	52459.9790	0
148	1	-448.1265	-0.6139	52459.9809	0
149	1	-448.1219	-0.6139	52459.9749	0
150	1	-448.1143	-0.6139	52459.9726	0
151	1	-448.1083	-0.6139	52459.9781	0
152	1	-448.1077	-0.6139	52459.9802	0
153	1	-448.1043	-0.6139	52459.9874	0
154	1	-448.0995	-0.6139	52459.9835	0
155	1	-448.0920	-0.6139	52459.9819	0
156	1	-448.0865	-0.6139	52459.9812	0
157	1	-448.0839	-0.6139	52459.9941	0
158	1	-448.0769	-0.6139	52459.9989	0
159	1	-448.0770	-0.6139	52460.0006	0
160	1	-448.0704	-0.6139	52460.0012	0
161	1	-448.0656	-0.6139	52460.0013	0
162	1	-448.0612	-0.6139	52460.0078	0
163	1	-448.0599	-0.6139	52460.0168	0
164	1	-448.0646	-0.6139	52460.0267	0
165	1	-448.0667	-0.6139	52460.0369	0
166	1	-448.0674	-0.6139	52460.0406	0
167	1	-448.0619	-0.6139	52460.0418	0
168	1	-448.0628	-0.6139	52460.0421	0
169	1	-448.0689	-0.6139	52460.0486	0
170	1	-448.0684	-0.6139	52460.0575	0
171	1	-448.0624	-0.6139	52460.0607	0
172	1	-448.0621	-0.6139	52460.0552	0
173	1	-448.0626	-0.6139	52460.0595	0
174	1	-448.0574	-0.6139	52460.0610	0
175	1	-448.0558	-0.6139	52460.0746	0
176	1	-448.0635	-0.6139	52460.0797	0
177	1	-448.0666	-0.6139	52460.0880	0
178	1	-448.0733	-0.6139	52460.0844	0
179	1	-448.0730	-0.6139	52460.0828	0
180	1	-448.0706	-0.6139	52460.0821	0
181	1	-448.0747	-0.6139	52460.0883	0
182	1	-448.0757	-0.6139	52460.0971	0
183	1	-448.0779	-0.6139	52460.1003	0
184	1	-448.0733	-0.6139	52460.0948	0
185	1	-448.0742	-0.6139	52460.0926	0
186	1	-448.0698	-0.6139	52460.0982	0
187	1	-448.0758	-0.6139	52460.1003	0
188	1	-448.0807	-0.6139	52460.0944	0
189	1	-448.0886	-0.6139	52460.0921	0
190	1	-448.0913	-0.6139	52460.0911	0
191	1	-448.0862	-0.6139	52460.0907	0
192	1	-448.0820	-0.6139	52460.0905	0
193	1	-448.0808	-0.6139	52460.0904	0
194	1	-448.0821	-0.6139	52460.0903	0
195	1	-448.0798	-0.6139	52460.0969	0
196	1	-448.0731	-0.6139	52460.0994	0
