ID,Trajectory,Speed Change,Direction Change,Speed,Cluster
78.0,1.0,0.01,-0.32,0.03,1
78.0,1.0,0.0499999999999999,1.57,0.04,1
78.0,1.0,-0.09,0.0,0.09,1
78.0,1.0,0.0,0.0,0.0,1
78.0,1.0,0.1,-1.83,0.0,1
78.0,1.0,0.0,-2.703185307179586,0.1,1
78.0,1.0,0.43,0.7000000000000002,0.1,1
78.0,1.0,-0.46,-0.3600000000000003,0.53,1
78.0,1.0,0.0099999999999999,2.163185307179586,0.07,1
78.0,1.0,-0.04,0.0,0.08,1
78.0,1.0,0.1999999999999999,-1.41,0.04,1
78.0,1.0,-0.1599999999999999,-0.4031853071795863,0.24,1
78.0,1.0,0.2,-0.1299999999999999,0.08,1
78.0,1.0,-0.1,-0.3399999999999998,0.28,1
78.0,1.0,-0.12,-1.1800000000000002,0.18,1
78.0,1.0,0.0,-2.8200000000000003,0.06,1
78.0,1.0,-0.06,0.0,0.06,1
78.0,1.0,0.0,0.0,0.0,1
78.0,1.0,0.03,2.3600000000000003,0.0,1
78.0,1.0,-0.03,0.0,0.03,1
78.0,1.0,0.0,0.0,0.0,1
78.0,1.0,0.3,3.0931853071795863,0.0,1
78.0,1.0,-0.0799999999999999,-1.7231853071795855,0.3,1
78.0,1.0,0.61,0.1799999999999997,0.22,1
78.0,2.0,0.37,-0.5899999999999999,0.47,2
78.0,2.0,-0.3999999999999999,0.1899999999999999,0.84,2
78.0,2.0,-0.27,-0.5,0.44,2
78.0,2.0,-0.06,-1.59,0.17,2
78.0,2.0,-0.05,-0.87,0.11,2
78.0,2.0,0.31,3.09,0.06,2
78.0,2.0,-0.0299999999999999,-2.63,0.37,2
78.0,2.0,-0.12,2.3600000000000003,0.34,2
78.0,2.0,0.03,0.4999999999999998,0.22,2
78.0,2.0,-0.1699999999999999,-2.86,0.25,2
78.0,2.0,0.06,2.5,0.08,2
78.0,2.0,0.0199999999999999,0.3799999999999999,0.14,2
78.0,2.0,-0.06,-2.73,0.16,2
78.0,2.0,-0.1,0.0,0.1,2
78.0,2.0,0.14,2.35,0.0,2
78.0,2.0,0.2799999999999999,0.1500000000000001,0.14,2
78.0,2.0,-0.38,-0.75,0.42,2
78.0,2.0,-0.04,0.0,0.04,2
78.0,2.0,0.06,0.7799999999999998,0.0,2
78.0,2.0,0.18,-0.1499999999999999,0.06,2
78.0,2.0,-0.0999999999999999,-1.15,0.24,2
78.0,2.0,0.0,-0.59,0.14,2
78.0,2.0,-0.14,0.0,0.14,2
78.0,2.0,0.0,0.0,0.0,2
78.0,2.0,0.15,1.29,0.0,2
78.0,2.0,0.13,-2.79,0.15,2
78.0,2.0,-0.03,-2.8931853071795866,0.28,2
78.0,2.0,-0.1099999999999999,-2.6799999999999997,0.25,2
78.0,2.0,0.2,1.87,0.14,2
78.0,2.0,-0.28,2.3831853071795863,0.34,2
78.0,2.0,0.09,-3.0631853071795865,0.06,2
78.0,2.0,0.01,2.0500000000000003,0.15,2
78.0,2.0,-0.14,-0.8800000000000001,0.16,2
78.0,2.0,0.0399999999999999,-0.32,0.02,2
78.0,2.0,-0.03,1.11,0.06,2
78.0,2.0,-0.0099999999999999,-2.36,0.03,2
78.0,2.0,0.13,1.85,0.02,2
78.0,2.0,-0.13,2.8631853071795863,0.15,2
78.0,2.0,0.12,2.16,0.02,2
78.0,2.0,0.4299999999999999,0.4700000000000001,0.14,2
78.0,2.0,-0.4099999999999999,0.76,0.57,2
78.0,2.0,-0.16,0.0,0.16,2
78.0,2.0,0.0,0.0,0.0,2
78.0,2.0,0.08,-1.82,0.0,2
78.0,2.0,0.29,2.51,0.08,2
78.0,2.0,-0.3399999999999999,-1.7199999999999998,0.37,2
78.0,2.0,0.03,-0.79,0.03,2
78.0,2.0,-0.06,0.0,0.06,2
78.0,2.0,0.3,1.57,0.0,2
78.0,3.0,-1.59,-1.22,1.71,2
78.0,3.0,0.88,0.4499999999999999,0.12,2
78.0,3.0,-0.98,2.52,1.0,2
78.0,3.0,0.76,-2.23,0.02,2
78.0,3.0,-0.51,0.0299999999999999,0.78,2
78.0,3.0,-0.18,-2.97,0.27,2
78.0,3.0,0.29,2.8499999999999996,0.09,2
78.0,3.0,-0.34,2.7831853071795862,0.38,2
78.0,3.0,0.13,0.3200000000000003,0.04,2
78.0,3.0,-0.1,2.9499999999999997,0.17,2
78.0,3.0,0.37,-2.03,0.07,2
78.0,3.0,-0.26,2.55,0.44,2
78.0,3.0,0.44,0.49,0.18,2
78.0,3.0,-0.48,2.523185307179586,0.62,2
78.0,3.0,0.76,-1.913185307179586,0.14,2
78.0,3.0,-0.68,-2.21,0.9,2
78.0,3.0,-0.13,-2.03,0.22,2
78.0,3.0,0.23,-2.743185307179586,0.09,2
78.0,3.0,-0.28,-2.62,0.32,2
78.0,3.0,0.48,1.81,0.04,2
78.0,3.0,-0.44,0.6300000000000001,0.52,2
78.0,3.0,0.29,2.523185307179586,0.08,2
78.0,3.0,0.0,2.43,0.37,2
78.0,3.0,-0.15,0.59,0.37,2
78.0,3.0,-0.13,3.013185307179586,0.22,2
78.0,3.0,0.21,-2.773185307179586,0.09,2
78.0,3.0,-0.2299999999999999,2.9031853071795863,0.3,2
78.0,3.0,0.0399999999999999,0.1899999999999999,0.07,2
78.0,3.0,0.05,2.88,0.11,2
78.0,3.0,0.0,2.743185307179586,0.16,2
78.0,3.0,1.1,-2.4431853071795864,0.16,2
78.0,4.0,-1.04,-2.23,1.08,2
78.0,4.0,0.6799999999999999,2.16,0.04,2
78.0,4.0,-0.35,-1.94,0.72,2
78.0,4.0,0.38,0.5800000000000001,0.37,2
78.0,4.0,-0.2299999999999999,0.1499999999999999,0.75,2
78.0,4.0,-0.37,-2.9299999999999997,0.52,2
78.0,4.0,-0.0699999999999999,-0.3799999999999999,0.15,2
