Time,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment
0.0,,,,,,,,,,,,,,2,250.0,-0.54,0.0,-0.64,0.0,1.0,0.0,0.0,0.84,,,,,2,,,,,,,,,,,,,,2,245.0,-0.31,0.0,-0.36,0.0,1.0,1.0,0.0,0.48,,,,,2,256.0,0.73,0.0,-0.94,1.0,0.0,0.0,0.0,1.19,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,283.0,-0.69,0.0,-1.49,1.0,1.0,0.0,0.0,1.64,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,255.0,0.21,0.0,-1.22,1.0,1.0,0.0,0.0,1.24,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
0.5,,,,,,,,,,,,,,2,250.0,-0.54,0.0,-0.64,0.0,1.0,1.0,0.0,0.84,0.0,,0.0,,2,,,,,,,,,,,,,,2,245.0,-0.3,0.0,-0.36,0.0,1.0,1.0,0.0,0.47,0.02,0.0,-0.02,0.0,2,256.0,0.72,0.0,-0.94,1.0,0.0,0.0,0.0,1.18,0.02,3.14,0.08,-0.20000000000000018,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,283.0,-0.69,0.0,-1.49,1.0,1.0,0.0,0.0,1.64,0.0,,0.0,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,255.0,0.29,0.0,-1.27,1.0,1.0,0.0,0.0,1.3,0.19,-0.56,0.15000000000000002,0.20000000000000007,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
1.0,,,,,,,,,,,,,,2,250.0,-0.54,0.0,-0.64,0.0,1.0,0.0,0.0,0.84,0.0,,0.0,,2,,,,,,,,,,,,,,2,245.0,-0.3,0.0,-0.36,0.0,1.0,1.0,0.0,0.47,0.0,0.0,0.0,0.0,2,256.0,0.67,0.0,-0.93,1.0,0.0,0.0,1.0,1.15,0.1,2.94,-0.060000000000000005,-2.94,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,283.0,-0.69,0.0,-1.49,0.0,1.0,0.0,0.0,1.64,0.0,,0.0,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,255.0,0.45,0.0,-1.33,1.0,1.0,0.0,0.0,1.4,0.34,-0.36,-0.13000000000000003,2.65,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
1.5,,,,,,,,,,,,,,2,250.0,-0.54,0.0,-0.64,0.0,1.0,0.0,0.0,0.84,0.0,,0.37,,2,,,,,,,,,,,,,,2,245.0,-0.3,0.0,-0.36,0.0,1.0,1.0,0.0,0.47,0.0,0.0,0.0,0.0,2,256.0,0.69,0.0,-0.93,1.0,0.0,0.0,1.0,1.16,0.04,0.0,0.030000000000000006,-0.59,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,241.0,0.38,0.0,-0.99,0.0,0.0,0.0,1.0,1.06,,,,,2,283.0,-0.69,0.0,-1.49,1.0,1.0,0.0,0.0,1.64,0.0,,0.0,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,255.0,0.38,0.0,-1.25,1.0,1.0,0.0,1.0,1.31,0.21,2.29,-0.16999999999999998,-0.72,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
2.0,,,,,,,,,,,,,,2,250.0,-0.72,0.0,-0.69,0.0,1.0,0.0,0.0,1.0,0.37,-2.87,-0.19,0.5900000000000003,2,,,,,,,,,,,,,,2,245.0,-0.3,0.0,-0.36,0.0,1.0,1.0,0.0,0.47,0.0,0.0,0.0,0.0,2,256.0,0.72,0.0,-0.95,1.0,0.0,0.0,0.0,1.19,0.07,-0.59,-0.05,2.16,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,241.0,0.38,0.0,-0.99,1.0,1.0,0.0,1.0,1.06,0.0,,0.0,,2,283.0,-0.69,0.0,-1.49,0.0,1.0,1.0,0.0,1.64,0.0,,0.0,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,255.0,0.38,0.0,-1.23,1.0,1.0,0.0,1.0,1.29,0.04,1.57,0.13999999999999999,0.10999999999999988,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
2.5,,,,,,,,,,,,,,2,250.0,-0.78,0.0,-0.76,0.0,1.0,0.0,0.0,1.09,0.18,-2.28,-0.18,0.0,2,,,,,,,,,,,,,,2,245.0,-0.3,0.0,-0.36,0.0,1.0,1.0,0.0,0.47,0.0,0.0,0.0,0.0,2,256.0,0.72,0.0,-0.94,1.0,0.0,0.0,1.0,1.18,0.02,1.57,0.0,1.57,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,241.0,0.38,0.0,-0.99,1.0,0.0,0.0,1.0,1.06,0.0,,0.0,,2,283.0,-0.69,0.0,-1.49,1.0,0.0,0.0,0.0,1.64,0.0,,0.0,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,255.0,0.37,0.0,-1.14,0.0,1.0,0.0,1.0,1.2,0.18,1.68,0.26,-0.53,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
3.0,,,,,,,,,,,,,,2,250.0,-0.78,0.0,-0.76,0.0,1.0,0.0,0.0,1.09,0.0,-2.28,0.2,-2.2331853071795864,2,,,,,,,,,,,,,,2,245.0,-0.3,0.0,-0.36,0.0,1.0,1.0,0.0,0.47,0.0,0.0,0.0,0.0,2,256.0,0.71,0.0,-0.94,1.0,0.0,0.0,1.0,1.18,0.02,3.14,0.009999999999999998,2.353185307179586,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,241.0,0.38,0.0,-0.99,0.0,1.0,0.0,1.0,1.06,0.0,,0.0,,2,283.0,-0.69,0.0,-1.49,1.0,0.0,0.0,0.0,1.64,0.0,,0.03,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,252.0,4.44,0.0,-8.96,0.0,0.0,0.0,0.0,10.0,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,255.0,0.46,0.0,-0.94,1.0,0.0,1.0,0.0,1.05,0.44,1.15,-0.42,1.9900000000000002,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
3.5,,,,,,,,,,,,,,2,250.0,-0.8,0.0,-0.66,0.0,1.0,0.0,0.0,1.04,0.2,1.77,-0.05000000000000002,-0.6000000000000001,2,,,,,,,,,,,,,,2,245.0,-0.3,0.0,-0.36,0.0,1.0,1.0,0.0,0.47,0.0,0.0,0.1,2.94,2,256.0,0.72,0.0,-0.95,1.0,0.0,0.0,1.0,1.19,0.03,-0.79,-0.009999999999999998,0.79,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,241.0,0.38,0.0,-0.99,0.0,0.0,0.0,1.0,1.06,0.0,,0.0,,2,283.0,-0.7,0.0,-1.48,1.0,1.0,0.0,0.0,1.64,0.03,2.36,0.04000000000000001,-0.19999999999999973,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,252.0,4.27,0.0,-8.65,0.0,0.0,0.0,0.0,9.65,0.71,2.07,0.3900000000000001,0.22999999999999998,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,255.0,0.45,0.0,-0.94,0.0,1.0,1.0,0.0,1.04,0.02,3.14,0.009999999999999998,-2.35,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
4.0,,,,,,,,,,,,,,2,250.0,-0.77,0.0,-0.59,0.0,1.0,0.0,0.0,0.97,0.15,1.17,0.020000000000000018,1.02,2,,,,,,,,,,,,,,2,245.0,-0.35,0.0,-0.35,0.0,1.0,1.0,0.0,0.49,0.1,2.94,-0.1,0.0,2,256.0,0.73,0.0,-0.95,1.0,0.0,0.0,1.0,1.2,0.02,0.0,0.009999999999999998,2.36,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,241.0,0.38,0.0,-0.99,0.0,0.0,1.0,0.0,1.06,0.0,,0.0,,2,283.0,-0.72,0.0,-1.45,1.0,1.0,0.0,0.0,1.62,0.07,2.16,-0.030000000000000006,-0.5900000000000001,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,252.0,3.9,0.0,-8.24,0.0,0.0,0.0,0.0,9.12,1.1,2.3,1.1999999999999997,-0.1599999999999997,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,255.0,0.46,0.0,-0.93,0.0,1.0,1.0,0.0,1.04,0.03,0.79,0.03,1.5699999999999998,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
4.5,,,,,,,,,,,,,,2,250.0,-0.82,0.0,-0.52,0.0,1.0,0.0,0.0,0.97,0.17,2.19,0.11999999999999997,-0.33999999999999986,2,,,,,,,,,,,,,,2,245.0,-0.35,0.0,-0.35,0.0,1.0,1.0,0.0,0.49,0.0,2.94,0.0,0.0,2,256.0,0.72,0.0,-0.94,1.0,0.0,0.0,1.0,1.18,0.03,2.36,0.0,3.1331853071795863,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,241.0,0.38,0.0,-0.99,0.0,0.0,1.0,0.0,1.06,0.0,,0.0,,2,283.0,-0.72,0.0,-1.43,1.0,1.0,0.0,0.0,1.6,0.04,1.57,-0.04,0.0,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,252.0,3.28,0.0,-7.27,0.0,0.0,0.0,0.0,7.98,2.3,2.14,-1.8599999999999999,0.3799999999999999,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,255.0,0.44,0.0,-0.91,0.0,1.0,1.0,0.0,1.01,0.06,2.36,0.04000000000000001,0.7800000000000002,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
