Time,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment,ID,Positionx,Positionz,Positiony,Up,Right,Down,Left,Distance,Speed,Direction,Speed Change,Direction Change,Experiment
0.0,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,168.0,-0.78,0.0,-2.21,0.0,0.0,0.0,1.0,2.34,,,,,3,182.0,0.0,0.0,-9.91,0.0,0.0,0.0,0.0,9.91,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3
0.5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,156.0,0.18,0.0,-1.23,0.0,1.0,0.0,1.0,1.24,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,168.0,-0.72,0.0,-2.22,0.0,0.0,0.0,1.0,2.33,0.12,-0.17,-0.09,2.53,3,182.0,,0.0,-9.91,0.0,0.0,0.0,0.0,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3
1.0,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,156.0,0.02,0.0,-1.49,1.0,1.0,0.0,0.0,1.49,0.61,-2.12,-0.030000000000000027,-3.133185307179586,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,168.0,-0.73,0.0,-2.21,0.0,0.0,0.0,1.0,2.33,0.03,2.36,0.010000000000000002,0.7800000000000002,3,182.0,0.0,0.0,-9.91,0.0,0.0,0.0,0.0,9.91,0.0,,1.49,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3
1.5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,156.0,0.17,0.0,-1.24,0.0,1.0,0.0,1.0,1.25,0.58,1.03,-0.5499999999999999,-0.24,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,168.0,-0.75,0.0,-2.21,0.0,0.0,0.0,1.0,2.33,0.04,3.14,0.019999999999999997,-0.3200000000000003,3,182.0,0.62,0.0,-9.5,0.0,0.0,0.0,0.0,9.52,1.49,0.58,-1.49,0.0,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3
2.0,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,156.0,0.18,0.0,-1.23,0.0,1.0,0.0,1.0,1.24,0.03,0.79,-0.03,0.0,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,168.0,-0.78,0.0,-2.2,0.0,0.0,0.0,1.0,2.33,0.06,2.82,-0.019999999999999997,-1.2499999999999998,3,182.0,0.62,0.0,-9.5,0.0,0.0,0.0,0.0,9.52,0.0,0.58,0.0,0.0,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3
2.5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,156.0,0.18,0.0,-1.23,0.0,1.0,0.0,1.0,1.24,0.0,0.79,0.1,-0.79,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,168.0,-0.78,0.0,-2.18,0.0,0.0,0.0,1.0,2.32,0.04,1.57,0.1,-2.3600000000000003,3,182.0,0.62,0.0,-9.5,0.0,0.0,0.0,0.0,9.52,0.0,0.58,0.0,0.0,3,,,,,,,,,,,,,,3,135.0,0.05,0.0,-1.33,0.0,1.0,1.0,1.0,1.33,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3
3.0,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,156.0,0.23,0.0,-1.23,0.0,1.0,0.0,1.0,1.25,0.1,0.0,0.12,0.09,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,168.0,-0.73,0.0,-2.23,0.0,0.0,0.0,1.0,2.35,0.14,-0.79,-0.010000000000000009,0.33,3,182.0,0.62,0.0,-9.5,0.0,0.0,0.0,0.0,9.52,0.0,0.58,0.07,0.010000000000000009,3,,,,,,,,,,,,,,3,135.0,0.03,0.0,-1.31,0.0,1.0,1.0,1.0,1.31,0.06,2.36,-0.06,0.0,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3
3.5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,156.0,0.34,0.0,-1.22,1.0,1.0,0.0,1.0,1.27,0.22,0.09,-0.12,3.0500000000000003,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,168.0,-0.67,0.0,-2.26,0.0,0.0,0.0,1.0,2.36,0.13,-0.46,0.04999999999999999,3.14,3,182.0,0.65,0.0,-9.48,0.0,0.0,0.0,0.0,9.5,0.07,0.59,0.1,-0.95,3,,,,,,,,,,,,,,3,135.0,0.03,0.0,-1.31,0.0,1.0,1.0,1.0,1.31,0.0,2.36,0.0,0.0,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3
4.0,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,156.0,0.29,0.0,-1.22,1.0,0.0,0.0,1.0,1.25,0.1,3.14,0.06,0.0,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,168.0,-0.75,0.0,-2.22,0.0,0.0,0.0,1.0,2.34,0.18,2.68,-0.03999999999999998,2.813185307179586,3,182.0,0.73,0.0,-9.51,0.0,0.0,0.0,0.0,9.54,0.17,-0.36,1.8399999999999999,2.03,3,,,,,,,,,,,,,,3,135.0,0.03,0.0,-1.31,0.0,1.0,1.0,1.0,1.31,0.0,2.36,0.0,0.0,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3
4.5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,156.0,0.21,0.0,-1.22,0.0,1.0,0.0,1.0,1.24,0.16,3.14,-0.16,0.0,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,168.0,-0.7,0.0,-2.27,0.0,0.0,0.0,1.0,2.38,0.14,-0.79,0.07999999999999999,-2.9431853071795864,3,182.0,0.63,0.0,-8.51,0.0,0.0,1.0,0.0,8.53,2.01,1.67,-1.7099999999999997,-0.030000000000000027,3,181.0,0.78,0.0,-4.32,0.0,0.0,0.0,0.0,4.39,,,,,3,135.0,0.03,0.0,-1.31,0.0,1.0,1.0,1.0,1.31,0.0,2.36,0.0,0.0,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3
