Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°)
0.0,59.23888769245241,33.89641518332064,0.0,50.861116565414704,37.879988165572286,0.0,53.36705768783577,32.93093402450904,0,44.76888519222848,49.33133026538417,0.0,62.1418646115344,44.01740273460746,0.0,52.004521226743236,32.50185308745131
1.0,58.46039829100482,34.32717026118189,1.0,50.78516598767601,37.71239093178883,1.0,53.49144163611345,33.02539835451171,1,44.76888519222848,49.33133026538417,1.0,62.1418646115344,44.01740273460746,1.0,52.004521226743236,32.50185308745131
2.0,58.46039829100482,34.32717026118189,2.0,50.9035578831099,37.21530639240518,2.0,53.41031328367535,33.171923618298024,2,45.12690756598022,49.57750797783956,2.0,62.1418646115344,44.01740273460746,2.0,52.004521226743236,32.50185308745131
3.0,58.46039829100482,34.32717026118189,3.0,50.68657119409181,37.00841882498935,3.0,53.35974788677413,33.37440109672025,3,45.12690756598022,49.57750797783956,3.0,62.1418646115344,44.01740273460746,3.0,52.004521226743236,32.50185308745131
4.0,58.46039829100482,34.32717026118189,4.0,50.25016141892411,36.74246605113149,4.0,53.27709666406736,33.61331532942131,4,45.14569145266432,49.39298944361508,4.0,62.1418646115344,44.01740273460746,4.0,52.28232934977859,32.839122916571796
5.0,58.46039829100482,34.32717026118189,5.0,49.85944373521488,36.56968051940203,5.0,53.227444996125996,33.76035942416638,5,45.14569145266432,49.39298944361508,5.0,62.1418646115344,44.01740273460746,5.0,52.23054568259977,33.11551158037037
6.0,58.46039829100482,34.32717026118189,6.0,50.023223235388286,36.18424098286778,6.0,53.14875315432437,33.75906232371926,6,45.14569145266432,49.39298944361508,6.0,62.1418646115344,44.01740273460746,6.0,52.48175027500838,33.156617873348296
7.0,58.46039829100482,34.32717026118189,7.0,50.091049689101055,35.889633937273175,7.0,53.10092893894762,33.79523965111002,7,45.14569145266432,49.39298944361508,7.0,62.1418646115344,44.01740273460746,7.0,52.575571265420876,33.195129971019924
8.0,58.46039829100482,34.32717026118189,8.0,50.37738572945818,35.70952546549961,8.0,53.03706185659394,33.84963535703719,8,45.14569145266432,49.39298944361508,8.0,62.1418646115344,44.01740273460746,8.0,52.653653870220296,33.2333826511167
9.0,58.46039829100482,34.32717026118189,9.0,50.503901752177626,35.67464520642534,9.0,52.95745629246812,33.90377164306119,9,45.14569145266432,49.39298944361508,9.0,62.1418646115344,44.01740273460746,9.0,52.653653870220296,33.2333826511167
10.0,58.46039829100482,34.32717026118189,10.0,50.55385794304311,35.509123302064836,10.0,52.893284637248144,33.9766451488249,10,45.14569145266432,49.39298944361508,10.0,62.1418646115344,44.01740273460746,10.0,53.39457489608321,33.171664198394865
11.0,58.46039829100482,34.32717026118189,11.0,50.824455616180785,35.32875542482361,11.0,52.90871835290454,33.99538236530498,11,45.14183109556325,48.672096045687795,11.0,62.1418646115344,44.01740273460746,11.0,53.39457489608321,33.171664198394865
12.0,58.46039829100482,34.32717026118189,12.0,52.42519903474022,35.632382933516055,12.0,53.28765718021896,33.927697255741805,12,44.902809325489216,47.891878138296306,12.0,62.1076466338709,44.183184024877846,12.0,53.39457489608321,33.171664198394865
13.0,58.46039829100482,34.32717026118189,13.0,53.45336971746292,35.335122698452324,13.0,53.241964989341795,33.834530024789274,13,44.70399761735462,47.53742773551494,13.0,62.002656282973476,43.86724545573816,13.0,53.39457489608321,33.171664198394865
14.0,58.46039829100482,34.32717026118189,14.0,54.87164898577612,35.247603859286755,14.0,53.07036598329432,33.73928742855787,14,44.23245672183111,47.49268993129954,14.0,62.163694827933796,43.648106255568564,14.0,53.39457489608321,33.171664198394865
15.0,58.46039829100482,34.32717026118189,15.0,55.395583334960975,34.9789978931658,15.0,52.94598204060458,33.644823101814836,15,44.23245672183111,47.49268993129954,15.0,62.1833928974811,43.408154357690364,15.0,53.39457489608321,33.171664198394865
16.0,58.46039829100482,34.32717026118189,16.0,56.55443455511704,35.349273381754756,16.0,52.957760866731405,33.88529385486618,16,44.23245672183111,47.49268993129954,16.0,61.94731777685229,43.404262844938785,16.0,53.39457489608321,33.171664198394865
17.0,58.46039829100482,34.32717026118189,17.0,56.63404003554024,35.295137122273445,17.0,52.40052241401281,34.264247875195,17,43.82122687040828,46.65418520011008,17.0,61.94731777685229,43.404262844938785,17.0,53.39457489608321,33.171664198394865
18.0,58.46039829100482,34.32717026118189,18.0,56.40588383190334,34.81082308338955,18.0,51.84815716242883,34.34755720710382,18,43.82122687040828,46.65418520011008,18.0,61.94731777685229,43.404262844938785,18.0,53.12763201247435,33.13029846409336
19.0,58.46039829100482,34.32717026118189,19.0,56.793046357808635,34.24423764413223,19.0,51.62325155339204,34.62109227897599,19,43.82122687040828,46.65418520011008,19.0,61.94731777685229,43.404262844938785,19.0,52.65517673897557,33.14099368220195
20.0,58.46039829100482,34.32717026118189,20.0,57.480760635924526,33.590192344971,20.0,51.305134212365374,34.8191596721299,20,43.82122687040828,46.65418520011008,20.0,61.94731777685229,43.404262844938785,20.0,52.604002209729515,33.38042675983161
21.0,58.46039829100482,34.32717026118189,21.0,57.92326204921119,33.48658952349797,21.0,51.00336431665346,34.980530904605985,21,43.82122687040828,46.65418520011008,21.0,61.94731777685229,43.404262844938785,21.0,52.120377154788,33.11369565222412
22.0,58.46039829100482,34.32717026118189,22.0,58.048559795715846,33.525620540603995,22.0,51.196183988358825,34.7434325828217,22,43.82122687040828,46.65418520011008,22.0,61.94731777685229,43.404262844938785,22.0,52.281720203580335,32.87607851298526
23.0,58.46039829100482,34.32717026118189,23.0,59.027992886840366,33.31997154233977,23.0,51.29274611338042,34.61564451828599,23,43.82122687040828,46.65418520011008,23.0,61.94731777685229,43.404262844938785,23.0,51.672492857906036,32.588794296141714
24.0,58.46039829100482,34.32717026118189,24.0,59.75195732922293,33.33190529374406,24.0,51.30909364146646,34.57894835015759,24,42.686543953139335,46.727896984666586,24.0,62.417031277902424,43.55986823514104,24.0,51.10286628222093,32.76423322362825
25.0,58.46039829100482,34.32717026118189,25.0,59.84760582027957,33.25955069018528,25.0,51.64508137968369,34.251795808319,25,42.391680769389495,47.425383895169944,25.0,62.77383500849828,43.87995775602758,25.0,50.95665250904858,33.03906539361924
