Experiment,Time,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change,ID,Trajectory,Positionx,Positiony,Distance,Up,Right,Down,Left,Speed,Speed Change,Direction,Direction Change
2,0.0,250.0,1.0,-0.54,-0.64,0.84,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,245.0,1.0,-0.31,-0.36,0.48,0.0,1.0,1.0,0.0,,,,,256.0,1.0,0.73,-0.94,1.19,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0,1.0,-0.69,-1.49,1.64,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,1.0,0.21,-1.22,1.24,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.5,250.0,1.0,-0.54,-0.64,0.84,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,245.0,1.0,-0.3,-0.36,0.47,0.0,1.0,1.0,0.0,0.02,-0.02,0.0,0.0,256.0,1.0,0.72,-0.94,1.18,1.0,0.0,0.0,0.0,0.02,0.08,3.14,-0.20000000000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0,1.0,-0.69,-1.49,1.64,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,1.0,0.29,-1.27,1.3,1.0,1.0,0.0,0.0,0.19,0.15000000000000002,-0.56,0.20000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,250.0,1.0,-0.54,-0.64,0.84,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,245.0,1.0,-0.3,-0.36,0.47,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,256.0,1.0,0.67,-0.93,1.15,1.0,0.0,0.0,1.0,0.1,-0.060000000000000005,2.94,-2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0,1.0,-0.69,-1.49,1.64,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,1.0,0.45,-1.33,1.4,1.0,1.0,0.0,0.0,0.34,-0.13000000000000003,-0.36,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.5,250.0,1.0,-0.54,-0.64,0.84,0.0,1.0,0.0,0.0,0.0,0.37,,,,,,,,,,,,,,,,245.0,1.0,-0.3,-0.36,0.47,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,256.0,1.0,0.69,-0.93,1.16,1.0,0.0,0.0,1.0,0.04,0.030000000000000006,0.0,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,1.0,0.38,-0.99,1.06,0.0,0.0,0.0,1.0,,,,,283.0,1.0,-0.69,-1.49,1.64,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,1.0,0.38,-1.25,1.31,1.0,1.0,0.0,1.0,0.21,-0.16999999999999998,2.29,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,250.0,1.0,-0.72,-0.69,1.0,0.0,1.0,0.0,0.0,0.37,-0.19,-2.87,0.5900000000000003,,,,,,,,,,,,,,245.0,1.0,-0.3,-0.36,0.47,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,256.0,1.0,0.72,-0.95,1.19,1.0,0.0,0.0,0.0,0.07,-0.05,-0.59,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,1.0,0.38,-0.99,1.06,1.0,1.0,0.0,1.0,0.0,0.0,,,283.0,1.0,-0.69,-1.49,1.64,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,1.0,0.38,-1.23,1.29,1.0,1.0,0.0,1.0,0.04,0.13999999999999999,1.57,0.10999999999999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.5,250.0,1.0,-0.78,-0.76,1.09,0.0,1.0,0.0,0.0,0.18,-0.18,-2.28,0.0,,,,,,,,,,,,,,245.0,1.0,-0.3,-0.36,0.47,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,256.0,1.0,0.72,-0.94,1.18,1.0,0.0,0.0,1.0,0.02,0.0,1.57,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,1.0,0.38,-0.99,1.06,1.0,0.0,0.0,1.0,0.0,0.0,,,283.0,1.0,-0.69,-1.49,1.64,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,1.0,0.37,-1.14,1.2,0.0,1.0,0.0,1.0,0.18,0.26,1.68,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,250.0,1.0,-0.78,-0.76,1.09,0.0,1.0,0.0,0.0,0.0,0.2,-2.28,-2.2331853071795864,,,,,,,,,,,,,,245.0,1.0,-0.3,-0.36,0.47,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,256.0,1.0,0.71,-0.94,1.18,1.0,0.0,0.0,1.0,0.02,0.009999999999999998,3.14,2.353185307179586,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,1.0,0.38,-0.99,1.06,0.0,1.0,0.0,1.0,0.0,0.0,,,283.0,1.0,-0.69,-1.49,1.64,1.0,0.0,0.0,0.0,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,1.0,4.44,-8.96,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,1.0,0.46,-0.94,1.05,1.0,0.0,1.0,0.0,0.44,-0.42,1.15,1.9900000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.5,250.0,1.0,-0.8,-0.66,1.04,0.0,1.0,0.0,0.0,0.2,-0.05000000000000002,1.77,-0.6000000000000001,,,,,,,,,,,,,,245.0,1.0,-0.3,-0.36,0.47,0.0,1.0,1.0,0.0,0.0,0.1,0.0,2.94,256.0,1.0,0.72,-0.95,1.19,1.0,0.0,0.0,1.0,0.03,-0.009999999999999998,-0.79,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,1.0,0.38,-0.99,1.06,0.0,0.0,0.0,1.0,0.0,0.0,,,283.0,1.0,-0.7,-1.48,1.64,1.0,1.0,0.0,0.0,0.03,0.04000000000000001,2.36,-0.19999999999999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,1.0,4.27,-8.65,9.65,0.0,0.0,0.0,0.0,0.71,0.3900000000000001,2.07,0.22999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,1.0,0.45,-0.94,1.04,0.0,1.0,1.0,0.0,0.02,0.009999999999999998,3.14,-2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.0,250.0,1.0,-0.77,-0.59,0.97,0.0,1.0,0.0,0.0,0.15,0.020000000000000018,1.17,1.02,,,,,,,,,,,,,,245.0,1.0,-0.35,-0.35,0.49,0.0,1.0,1.0,0.0,0.1,-0.1,2.94,0.0,256.0,1.0,0.73,-0.95,1.2,1.0,0.0,0.0,1.0,0.02,0.009999999999999998,0.0,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,1.0,0.38,-0.99,1.06,0.0,0.0,1.0,0.0,0.0,0.0,,,283.0,1.0,-0.72,-1.45,1.62,1.0,1.0,0.0,0.0,0.07,-0.030000000000000006,2.16,-0.5900000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,1.0,3.9,-8.24,9.12,0.0,0.0,0.0,0.0,1.1,1.1999999999999997,2.3,-0.1599999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,1.0,0.46,-0.93,1.04,0.0,1.0,1.0,0.0,0.03,0.03,0.79,1.5699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.5,250.0,1.0,-0.82,-0.52,0.97,0.0,1.0,0.0,0.0,0.17,0.11999999999999997,2.19,-0.33999999999999986,,,,,,,,,,,,,,245.0,1.0,-0.35,-0.35,0.49,0.0,1.0,1.0,0.0,0.0,0.0,2.94,0.0,256.0,1.0,0.72,-0.94,1.18,1.0,0.0,0.0,1.0,0.03,0.0,2.36,3.1331853071795863,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,1.0,0.38,-0.99,1.06,0.0,0.0,1.0,0.0,0.0,0.0,,,283.0,1.0,-0.72,-1.43,1.6,1.0,1.0,0.0,0.0,0.04,-0.04,1.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,1.0,3.28,-7.27,7.98,0.0,0.0,0.0,0.0,2.3,-1.8599999999999999,2.14,0.3799999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,1.0,0.44,-0.91,1.01,0.0,1.0,1.0,0.0,0.06,0.04000000000000001,2.36,0.7800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
