#{"t_start": 1739893907.5547526, "env_id": "Xinjiekou-v0"}
r,l,t
0.0,12,0.416944
0.0,12,0.483775
0.0,12,0.550982
0.0,12,0.617119
0.0,12,0.683479
0.0,12,0.750633
0.0,12,0.817297
0.0,12,0.883486
0.0,12,0.949487
0.0,12,1.073073
0.0,12,1.139595
0.0,12,1.20513
0.0,12,1.272174
0.0,12,1.337702
0.0,12,1.405114
0.0,12,1.471179
0.0,12,1.536736
0.0,12,1.602474
0.0,12,1.667825
0.0,12,1.733518
0.0,12,1.799286
0.0,12,1.866214
0.0,12,1.931813
0.0,12,1.997863
0.0,12,2.063786
0.0,12,2.129788
0.0,12,2.195728
0.0,12,2.261933
0.0,12,2.328904
0.0,12,2.394796
0.0,12,2.460654
0.0,12,2.526244
0.0,12,2.591842
0.0,12,2.65804
0.0,12,2.723866
0.0,12,2.790085
0.0,12,2.856735
0.0,12,2.922661
0.0,12,2.988382
0.0,12,3.05402
0.0,12,3.120346
0.0,12,3.186176
0.0,12,3.252234
0.0,12,3.319011
0.0,12,3.385126
0.0,12,3.451201
0.0,12,3.516869
0.0,12,3.583083
0.0,12,3.648494
0.0,12,3.714238
0.0,12,3.78045
0.0,12,3.846631
0.0,12,3.912171
0.0,12,3.977479
0.0,12,4.044317
0.0,12,4.111883
0.0,12,4.17819
0.0,12,4.244142
0.0,12,4.310114
0.0,12,4.376318
0.0,12,4.442351
0.0,12,4.508298
0.0,12,4.57401
0.0,12,4.639902
0.0,12,4.70549
0.0,12,4.771698
0.0,12,4.83799
0.0,12,4.903165
0.0,12,4.968815
0.0,12,5.034333
0.0,12,5.10032
0.0,12,5.165986
0.0,12,5.231671
0.0,12,5.298083
0.0,12,5.364508
0.0,12,5.430634
0.0,12,5.496315
0.0,12,5.561706
0.0,12,5.627559
0.0,12,5.693343
0.0,12,5.759723
0.0,12,5.826244
0.0,12,5.892326
0.0,12,5.958195
0.0,12,6.0235
0.0,12,6.089025
0.0,12,6.154107
0.0,12,6.219562
0.0,12,6.286336
0.0,12,6.352583
0.0,12,6.418523
0.0,12,6.484312
0.0,12,6.55014
0.0,12,6.616159
0.0,12,6.681747
0.0,12,6.748022
0.0,12,6.814152
0.0,12,6.880554
0.0,12,6.946934
0.0,12,7.012575
0.0,12,7.078392
0.0,12,7.143727
0.0,12,7.209385
0.0,12,7.274998
0.0,12,7.341972
0.0,12,7.408074
0.0,12,7.473972
0.0,12,7.539551
0.0,12,7.605559
0.0,12,7.67153
0.0,12,7.737207
0.0,12,7.803481
0.0,12,7.870065
0.0,12,7.936295
0.0,12,8.002565
0.0,12,8.070029
0.0,12,8.136676
0.0,12,8.202909
0.0,12,8.269077
0.0,12,8.336387
0.0,12,8.403085
0.0,12,8.469148
0.0,12,8.535205
0.0,12,8.601486
0.0,12,8.667088
0.0,12,8.733137
0.0,12,8.799757
0.0,12,8.866182
0.0,12,8.932117
0.0,12,8.99788
0.0,12,9.063889
0.0,12,9.13029
0.0,12,9.196405
0.0,12,9.263031
0.0,12,9.329388
0.0,12,9.396541
0.0,12,9.462458
0.0,12,9.52858
0.0,12,9.594815
0.0,12,9.660894
0.0,12,9.727139
0.0,12,9.793778
0.0,12,9.860374
0.0,12,9.92626
0.0,12,9.992969
0.0,12,10.058643
0.0,12,10.124086
0.0,12,10.18948
0.0,12,10.255718
0.0,12,10.321564
0.0,12,10.388533
0.0,12,10.454633
0.0,12,10.520433
0.0,12,10.586383
0.0,12,10.652482
0.0,12,10.71877
0.0,12,10.784685
0.0,12,10.851854
0.0,12,10.917691
0.0,12,10.98347
0.0,12,11.048836
0.0,12,11.114327
0.0,12,11.180495
0.0,12,11.246625
0.0,12,11.312902
0.0,12,11.379658
0.0,12,11.445735
0.0,12,11.511253
0.0,12,11.576689
0.0,12,11.643015
0.0,12,12.385021
0.0,12,12.452306
0.0,12,12.520283
0.0,12,12.588852
0.0,12,12.656842
0.0,12,12.723701
0.0,12,12.790738
0.0,12,12.857538
0.0,12,12.923661
0.0,12,12.988826
0.0,12,13.05463
0.0,12,13.120798
0.0,12,13.186765
0.0,12,13.252971
0.0,12,13.320017
0.0,12,13.38651
0.0,12,13.45292
0.0,12,13.518616
0.0,12,13.584815
0.0,12,13.650867
0.0,12,13.772356
0.0,12,13.83953
0.0,12,13.905345
0.0,12,13.971382
0.0,12,14.036752
0.0,12,14.102319
0.0,12,14.168417
0.0,12,14.234446
0.0,12,14.301066
0.0,12,14.368411
0.0,12,14.434929
0.0,12,14.501086
0.0,12,14.567303
0.0,12,14.633955
0.0,12,14.700002
0.0,12,14.766082
0.0,12,14.833038
0.0,12,14.899565
0.0,12,14.965676
0.0,12,15.031854
0.0,12,15.098191
0.0,12,15.164721
0.0,12,15.231464
0.0,12,15.297882
0.0,12,15.364597
0.0,12,15.431753
0.0,12,15.497689
0.0,12,15.56353
0.0,12,15.630481
0.0,12,15.696483
0.0,12,15.762988
0.0,12,15.829434
0.0,12,15.896449
0.0,12,15.962608
0.0,12,16.028413
0.0,12,16.094913
0.0,12,16.161745
0.0,12,16.228749
0.0,12,16.295677
0.0,12,16.362164
0.0,12,16.429023
0.0,12,16.494984
0.0,12,16.561115
0.0,12,16.627343
0.0,12,16.693667
0.0,12,16.760212
0.0,12,16.826524
0.0,12,16.893018
0.0,12,16.959157
0.0,12,17.025039
0.0,12,17.091446
0.0,12,17.157607
0.0,12,17.223926
0.0,12,17.290322
0.0,12,17.357021
0.0,12,17.42364
0.0,12,17.489825
0.0,12,17.556026
0.0,12,17.622102
0.0,12,17.688239
0.0,12,17.754163
0.0,12,17.820226
0.0,12,17.886887
0.0,12,17.952874
0.0,12,18.018199
0.0,12,18.083717
0.0,12,18.149851
0.0,12,18.216033
0.0,12,18.281956
0.0,12,18.348806
0.0,12,18.415246
0.0,12,18.481457
0.0,12,18.547582
0.0,12,18.613997
0.0,12,18.680845
0.0,12,18.746963
0.0,12,18.813199
0.0,12,18.879891
0.0,12,18.946083
0.0,12,19.012152
0.0,12,19.077965
0.0,12,19.144472
0.0,12,19.210559
0.0,12,19.276829
0.0,12,19.343823
0.0,12,19.410172
0.0,12,19.476383
0.0,12,19.541977
0.0,12,19.608575
0.0,12,19.674946
0.0,12,19.741028
0.0,12,19.807545
0.0,12,19.874143
0.0,12,19.940414
0.0,12,20.006119
0.0,12,20.072236
0.0,12,20.138403
0.0,12,20.204308
0.0,12,20.270186
0.0,12,20.336329
0.0,12,20.403057
0.0,12,20.46861
0.0,12,20.534182
0.0,12,20.600614
0.0,12,20.667666
0.0,12,20.733972
0.0,12,20.800334
0.0,12,20.866836
0.0,12,20.932911
0.0,12,20.998464
0.0,12,21.064323
0.0,12,21.130387
0.0,12,21.195879
0.0,12,21.261628
0.0,12,21.327631
0.0,12,21.394961
0.0,12,21.461022
0.0,12,21.526695
0.0,12,21.592871
0.0,12,21.659186
0.0,12,21.726563
0.0,12,21.792603
0.0,12,21.85933
0.0,12,21.926433
0.0,12,21.992639
0.0,12,22.059254
0.0,12,22.12515
0.0,12,22.19136
0.0,12,22.257535
0.0,12,22.323634
0.0,12,22.390379
0.0,12,22.457551
0.0,12,22.523989
0.0,12,22.589917
0.0,12,22.656301
0.0,12,22.722862
0.0,12,22.789391
0.0,12,22.856551
0.0,12,22.922631
0.0,12,22.988464
0.0,12,23.054529
0.0,12,23.120937
0.0,12,23.18716
0.0,12,23.253386
0.0,12,23.319409
0.0,12,23.386853
0.0,12,23.453798
0.0,12,23.520324
0.0,12,23.586724
0.0,12,23.653124
0.0,12,23.71911
0.0,12,24.464189
0.0,12,24.531476
0.0,12,24.599724
0.0,12,24.670441
0.0,12,24.737947
0.0,12,24.805397
0.0,12,24.872761
0.0,12,24.939801
0.0,12,25.006219
0.0,12,25.07285
0.0,12,25.138849
0.0,12,25.204674
0.0,12,25.270659
0.0,12,25.337282
0.0,12,25.405015
0.0,12,25.471458
0.0,12,25.537547
0.0,12,25.604051
0.0,12,25.66997
0.0,12,25.736048
0.0,12,25.80251
0.0,12,25.869608
0.0,12,25.935694
0.0,12,26.001586
0.0,12,26.124126
0.0,12,26.190233
0.0,12,26.25588
0.0,12,26.322251
0.0,12,26.389325
0.0,12,26.455909
0.0,12,26.522021
0.0,12,26.588159
0.0,12,26.654718
0.0,12,26.720769
0.0,12,26.786896
0.0,12,26.853636
0.0,12,26.920353
0.0,12,26.986501
0.0,12,27.052481
0.0,12,27.119018
0.0,12,27.185535
0.0,12,27.251775
0.0,12,27.31844
0.0,12,27.385965
0.0,12,27.452522
0.0,12,27.51855
0.0,12,27.585088
0.0,12,27.651426
0.0,12,27.71743
0.0,12,27.783754
0.0,12,27.850414
0.0,12,27.917336
0.0,12,27.983377
0.0,12,28.049936
0.0,12,28.1158
0.0,12,28.181879
0.0,12,28.247801
0.0,12,28.314051
0.0,12,28.381423
0.0,12,28.44788
0.0,12,28.513884
0.0,12,28.579432
0.0,12,28.645406
0.0,12,28.711543
0.0,12,28.777811
0.0,12,28.844499
0.0,12,28.911644
0.0,12,28.977961
0.0,12,29.044325
0.0,12,29.110848
0.0,12,29.177115
0.0,12,29.243171
0.0,12,29.309494
0.0,12,29.376748
0.0,12,29.443511
0.0,12,29.509905
0.0,12,29.57613
0.0,12,29.642187
0.0,12,29.708284
0.0,12,29.774417
0.0,12,29.840702
0.0,12,29.907804
0.0,12,29.974194
0.0,12,30.040552
0.0,12,30.106114
0.0,12,30.172153
0.0,12,30.23793
0.0,12,30.303418
0.0,12,30.370123
0.0,12,30.436234
0.0,12,30.501976
0.0,12,30.567878
0.0,12,30.633789
0.0,12,30.699761
0.0,12,30.765679
0.0,12,30.832153
0.0,12,30.899118
0.0,12,30.96521
0.0,12,31.031182
0.0,12,31.097581
0.0,12,31.163769
0.0,12,31.22968
0.0,12,31.296337
0.0,12,31.363179
0.0,12,31.429828
0.0,12,31.495994
0.0,12,31.56206
0.0,12,31.628277
0.0,12,31.694127
0.0,12,31.760138
0.0,12,31.826688
0.0,12,31.893634
0.0,12,31.959726
0.0,12,32.025218
0.0,12,32.090983
0.0,12,32.161299
0.0,12,32.227636
0.0,12,32.29439
0.0,12,32.360876
0.0,12,32.427974
0.0,12,32.493862
0.0,12,32.559916
0.0,12,32.626153
0.0,12,32.692219
0.0,12,32.758787
0.0,12,32.825009
0.0,12,32.891574
0.0,12,32.957772
0.0,12,33.023832
0.0,12,33.090295
0.0,12,33.156263
0.0,12,33.222355
0.0,12,33.28894
0.0,12,33.355162
0.0,12,33.422391
0.0,12,33.488641
0.0,12,33.555109
0.0,12,33.620827
0.0,12,33.686643
0.0,12,33.752463
0.0,12,33.818611
0.0,12,33.885716
0.0,12,33.952089
0.0,12,34.018515
0.0,12,34.084488
0.0,12,34.150765
0.0,12,34.21718
0.0,12,34.283469
0.0,12,34.34946
0.0,12,34.415946
0.0,12,34.482004
0.0,12,34.547892
0.0,12,34.6137
0.0,12,34.679709
0.0,12,34.74541
0.0,12,34.811305
0.0,12,34.877409
0.0,12,34.942972
0.0,12,35.008516
0.0,12,35.074339
0.0,12,35.140069
0.0,12,35.206702
0.0,12,35.273069
0.0,12,35.340261
0.0,12,35.407247
0.0,12,35.473902
0.0,12,35.540161
0.0,12,35.606522
0.0,12,35.672748
0.0,12,35.738996
0.0,12,35.805732
0.0,12,36.543333
0.0,12,36.610043
0.0,12,36.676704
0.0,12,36.74497
0.0,12,36.812334
0.0,12,36.879916
0.0,12,36.946396
0.0,12,37.012795
0.0,12,37.079233
0.0,12,37.145485
0.0,12,37.21169
0.0,12,37.277586
0.0,12,37.344238
0.0,12,37.411697
0.0,12,37.478273
0.0,12,37.544546
0.0,12,37.611021
0.0,12,37.677227
0.0,12,37.743712
0.0,12,37.810124
0.0,12,37.877514
0.0,12,37.9445
0.0,12,38.010728
0.0,12,38.07688
0.0,12,38.143528
0.0,12,38.265964
0.0,12,38.332775
0.0,12,38.399922
0.0,12,38.466046
0.0,12,38.532125
0.0,12,38.598544
0.0,12,38.665086
